timestamp,live_fps,record_fps,ai_fps,preview_fps,api_cpu_pct,api_mem_mb
2026-05-27T04:51:34Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:51:38Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:51:42Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:51:45Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:51:47Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:51:51Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:51:54Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:51:58Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:52:01Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:52:04Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:52:08Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:52:11Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:52:14Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:52:18Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:52:21Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:52:23Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:52:27Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:52:30Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:52:33Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:52:36Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:52:39Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:52:41Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:52:45Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:52:48Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:52:52Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:52:54Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:52:57Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:53:00Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:53:02Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:53:05Z,30.0,30.0,5.0,5.0,0,0
