timestamp,live_fps,record_fps,ai_fps,preview_fps
2026-05-27T04:57:06Z,30.0,30.0,5.0,5.0
2026-05-27T04:57:04Z,30.1,30.1,5.0,5.0,0,0
2026-05-27T04:57:07Z,30.0,30.0,5.0,5.0
2026-05-27T04:57:09Z,30.0,30.0,5.0,5.0
2026-05-27T04:57:10Z,30.0,30.0,5.0,5.0
2026-05-27T04:57:08Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:57:11Z,48.7,48.7,5.0,5.0
2026-05-27T04:57:12Z,30.0,30.0,5.0,5.0
2026-05-27T04:57:13Z,30.0,30.0,5.0,5.0
2026-05-27T04:57:11Z,40.8,40.8,5.0,5.0,0,0
2026-05-27T04:57:15Z,30.0,30.0,5.0,5.0
2026-05-27T04:57:16Z,30.0,30.0,5.0,5.0
2026-05-27T04:57:17Z,30.0,30.0,5.0,5.0
2026-05-27T04:57:15Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:57:18Z,30.0,30.0,5.0,5.0
2026-05-27T04:57:19Z,30.0,30.0,5.0,5.0
2026-05-27T04:57:18Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:57:20Z,30.0,30.0,5.0,5.0
2026-05-27T04:57:22Z,30.0,30.0,5.0,5.0
2026-05-27T04:57:21Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:57:23Z,0,0,0,0
2026-05-27T04:57:24Z,30.1,30.1,3.8,3.8
2026-05-27T04:57:26Z,30.0,30.0,5.0,5.0
2026-05-27T04:57:24Z,30.2,30.2,3.3,3.3,0,0
2026-05-27T04:57:27Z,30.0,30.0,5.0,5.0
2026-05-27T04:57:28Z,30.0,30.0,5.0,5.0
2026-05-27T04:57:29Z,30.0,30.0,5.0,5.0
2026-05-27T04:57:28Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:57:30Z,30.0,30.0,5.0,5.0
2026-05-27T04:57:32Z,30.0,30.0,5.0,5.0
2026-05-27T04:57:33Z,30.0,30.0,5.0,5.0
2026-05-27T04:57:31Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:57:34Z,44.4,44.4,5.0,5.0
2026-05-27T04:57:35Z,30.0,30.0,5.0,5.0
2026-05-27T04:57:37Z,30.0,30.0,5.0,5.0
2026-05-27T04:57:35Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:57:38Z,30.0,30.0,5.0,5.0
2026-05-27T04:57:39Z,30.0,30.0,5.0,5.0
2026-05-27T04:57:40Z,30.0,30.0,5.0,5.0
2026-05-27T04:57:39Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:57:41Z,30.0,30.0,5.0,5.0
2026-05-27T04:57:42Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:57:48Z,30.7,30.2,5.0,5.0,0,0
2026-05-27T04:57:52Z,30.5,30.5,5.0,5.0,0,0
