timestamp,live_fps,record_fps,ai_fps,preview_fps,api_cpu_pct,api_mem_mb
2026-05-27T04:54:19Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:54:23Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:54:26Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:54:30Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:54:33Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:54:37Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:54:41Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:54:45Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:54:49Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:54:52Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:54:56Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:54:59Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:55:02Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:55:06Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:55:10Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:55:13Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:55:15Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:55:19Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:55:22Z,30.0,30.0,5.0,5.0,0,0
2026-05-27T04:55:26Z,30.0,30.0,5.0,5.0,0,0
