timestamp,live_fps,record_fps,ai_fps,preview_fps
2026-05-27T04:58:03Z,30.0,30.0,5.0,5.0
2026-05-27T04:58:05Z,30.0,30.0,5.0,5.0
2026-05-27T04:58:06Z,43.7,43.7,5.0,5.0
2026-05-27T04:58:07Z,30.0,30.0,5.0,5.0
2026-05-27T04:58:08Z,30.0,30.0,5.0,5.0
2026-05-27T04:58:10Z,30.0,30.0,5.0,5.0
2026-05-27T04:58:11Z,30.0,30.0,5.0,5.0
2026-05-27T04:58:12Z,30.0,30.0,5.0,5.0
2026-05-27T04:58:13Z,30.0,30.0,5.0,5.0
2026-05-27T04:58:15Z,30.0,30.0,5.0,5.0
2026-05-27T04:58:16Z,30.0,30.0,5.0,5.0
2026-05-27T04:58:17Z,30.9,30.9,5.0,5.0
2026-05-27T04:58:19Z,30.0,30.0,5.0,5.0
2026-05-27T04:58:20Z,30.0,30.0,5.0,5.0
2026-05-27T04:58:21Z,30.0,30.0,5.0,5.0
2026-05-27T04:58:22Z,30.0,30.0,5.0,5.0
2026-05-27T04:58:23Z,30.0,30.0,5.0,5.0
2026-05-27T04:58:25Z,30.0,30.0,5.0,5.0
2026-05-27T04:58:26Z,30.0,30.0,5.0,5.0
2026-05-27T04:58:27Z,30.0,30.0,5.0,5.0
2026-05-27T04:58:28Z,30.0,30.0,5.0,5.0
2026-05-27T04:58:29Z,30.0,30.0,5.0,5.0
2026-05-27T04:58:31Z,30.0,30.0,5.0,5.0
2026-05-27T04:58:32Z,30.0,30.0,5.0,5.0
2026-05-27T04:58:33Z,30.0,30.0,5.0,5.0
2026-05-27T04:58:34Z,30.0,30.0,5.0,5.0
2026-05-27T04:58:35Z,30.0,30.0,5.0,5.0
2026-05-27T04:58:37Z,30.0,30.0,5.0,5.0
2026-05-27T04:58:38Z,30.0,30.0,5.0,5.0
2026-05-27T04:58:39Z,30.0,30.0,5.0,5.0
